DATE,SYMBOL,PRICE_USD,CEX_TRADING_VOLUME_24H_USD,CIRCULATING_TOKENS
01/15/2026,NEAR,1.803213714,239140414,1285138971
01/15/2026,SOL,145.873372287,6715073038,565323949
01/15/2026,XRP,2.132030384,4508440845,60699081830
01/15/2026,ZEC,442.735447932,861816851,16496681
01/14/2026,AAVE,177.917780362,455032595,15184906
01/14/2026,ADA,0.4220459034,827988864,36760319896
01/14/2026,BNB,947.010589254,3113870777,137733233
01/14/2026,BTC,95181.246076619,68024464391,19975550
01/14/2026,ETH,3322.347583166,35100506780,120694706
01/14/2026,NEAR,1.86276252,382348968,1285061625
01/14/2026,SOL,144.989379537,8022229368,565201266
01/14/2026,XRP,2.165347664,4114513225,60699967552
01/14/2026,ZEC,412.092060475,750186935,16495244
01/13/2026,AAVE,165.585221578,316437779,15184804
01/13/2026,ADA,0.3863153382,574381225,36683447622
01/13/2026,BNB,905.460806229,1374946623,137733795
01/13/2026,BTC,91377.09091778,46193502194,19975121
01/13/2026,ETH,3105.153662439,20840216557,120694706
01/13/2026,NEAR,1.692174604,242350253,1284983682
01/13/2026,SOL,139.098829801,6327868822,565079047
01/13/2026,XRP,2.056812617,3685702788,60699967552
01/13/2026,ZEC,402.558075726,771362191,16493877
01/12/2026,AAVE,166.80099925,184571619,15184465
01/12/2026,ADA,0.389662696,414884196,36683447622
01/12/2026,BNB,900.731746851,1186549485,137733907
01/12/2026,BTC,91138.589436352,21434629474,19974675
01/12/2026,ETH,3117.453166164,11687227799,120694719
01/12/2026,NEAR,1.695978359,125090238,1284879948
01/12/2026,SOL,140.706870727,4016269540,564579740
01/12/2026,XRP,2.050300564,2131743789,60699967552
01/12/2026,ZEC,384.439595178,539348516,16491974
01/11/2026,AAVE,165.05033409,128043411,15182755
01/11/2026,ADA,0.3886121291,240923715,36683447622
01/11/2026,BNB,904.608201336,1331061806,137734042
01/11/2026,BTC,90499.121943263,13589044478,19974293
01/11/2026,ETH,3087.498912455,6864897528,120694734
01/11/2026,NEAR,1.692602621,86521141,1284802425
01/11/2026,SOL,136.165439689,1744026094,564457208
01/11/2026,XRP,2.086824838,1094902652,60699967552
01/11/2026,ZEC,377.323439016,662483265,16490102
01/10/2026,AAVE,164.482043917,216672742,15182711
01/10/2026,ADA,0.3891072267,491806454,36683447622
01/10/2026,BNB,896.767644741,1024619958,137734150
01/10/2026,BTC,90479.051279539,42706598355,19973800
01/10/2026,ETH,3079.763673052,18466204992,120694747
01/10/2026,NEAR,1.68852106,196253581,1284724274
01/10/2026,SOL,135.688065565,5406424500,564262188
